latitude,longitude,unique_squirrel_id,other_activities,lat_long
40.7810849804467,-73.9671534029191,20D-AM-1007-02,quieter,POINT (-73.9671534029191 40.7810849804467)
40.7697007833531,-73.9698044218476,7I-PM-1013-06,"playing,interacting with #7",POINT (-73.9698044218476 40.7697007833531)
40.7938945058793,-73.9614218413356,34B-AM-1013-01,hopping,POINT (-73.9614218413356 40.7938945058793)
40.7805111762703,-73.9722056538718,17A-PM-1013-03,grooming! & scratching,POINT (-73.9722056538718 40.7805111762703)
40.796126044521,-73.9577009571427,38C-PM-1014-10,climbing (down from ~10'),POINT (-73.9577009571427 40.796126044521)
40.7963146584827,-73.9590632051055,38B-AM-1019-04,sitting in tree,POINT (-73.9590632051055 40.7963146584827)
40.769356212275,-73.9787771053108,3B-AM-1010-07,together w/ #8,POINT (-73.9787771053108 40.76935621227501)
40.7724644426313,-73.9680171894351,11I-PM-1012-07,burying its food into the ground,POINT (-73.96801718943512 40.7724644426313)
40.7781287528262,-73.9646174034945,18H-AM-1018-01,playing?,POINT (-73.9646174034945 40.7781287528262)
40.7997576909042,-73.957697363244,42A-PM-1014-01,up on hind legs looking around,POINT (-73.957697363244 40.7997576909042)
40.7733646782679,-73.9756870789187,9B-AM-1010-09,food in mouth,POINT (-73.9756870789187 40.7733646782679)
40.7759469280872,-73.9737247632185,12C-PM-1017-01,"digging/burying,drinking from lake",POINT (-73.9737247632185 40.7759469280872)
40.784719027304,-73.9678620840741,23B-PM-1012-03,2/3 were chasing each other,POINT (-73.96786208407411 40.784719027304)
40.7745021602455,-73.9724618533895,11D-AM-1010-02,walking,POINT (-73.9724618533895 40.7745021602455)
40.7844967881001,-73.9665363265054,23C-PM-1014-04,being chased by #3 across trees,POINT (-73.9665363265054 40.7844967881001)
40.779544003786,-73.9663124560664,18F-PM-1008-02,hopping around,POINT (-73.9663124560664 40.779544003786)
40.7993068355401,-73.9564777440695,42C-AM-1007-01,nut in mouth,POINT (-73.9564777440695 40.7993068355401)
40.7787016773517,-73.9727310397798,15B-PM-1017-02,"digging,chewing on tree—has nut in mouth!",POINT (-73.97273103977982 40.7787016773517)
40.7683896583055,-73.9788379085607,2C-PM-1013-06,cleaning face & tail,POINT (-73.9788379085607 40.7683896583055)
40.7784265674544,-73.9708032298419,15C-AM-1010-02,nest building,POINT (-73.9708032298419 40.77842656745441)
40.7699335098581,-73.9700263936574,7H-PM-1006-07,playing w/ #6,POINT (-73.9700263936574 40.7699335098581)
40.7875347862766,-73.9573119777312,30H-AM-1007-02,following #1,POINT (-73.9573119777312 40.7875347862766)
40.771098202397,-73.9724879969884,8F-PM-1012-07,gathering,POINT (-73.9724879969884 40.771098202397)
40.7943813964442,-73.9613276802049,35B-PM-1013-03,threatened by approaching dog (dog #1),POINT (-73.96132768020492 40.7943813964442)
